,s-2,s-1,a,r,none
940,4,1,3,1,
941,1,3,1,0,
942,3,1,1,0,
943,1,1,4,-1,
944,1,4,1,0,
945,4,1,4,1,
946,1,4,5,0,
947,4,5,4,1,
948,5,4,4,-1,
949,4,4,3,1,
950,4,3,4,-1,
951,3,4,2,1,
952,4,2,2,-1,
953,2,2,3,1,
954,2,3,2,1,
955,3,2,4,1,
956,2,4,4,1,
957,4,4,2,1,
958,4,2,4,-1,
959,2,4,5,-1,
960,4,5,2,1,
961,5,2,4,-1,
962,2,4,4,-1,
963,4,4,0,0,
964,4,0,2,1,
965,0,2,2,0,
966,2,2,1,0,
967,2,1,3,0,
968,1,3,4,-1,
969,3,4,3,1,
970,4,3,0,-1,
971,3,0,1,0,
972,0,1,5,-1,
973,1,5,3,-1,
974,5,3,1,0,
975,3,1,0,1,
976,1,0,5,1,
977,0,5,4,1,
978,5,4,2,1,
979,4,2,2,1,
980,2,2,4,1,
981,2,4,1,0,
982,4,1,1,0,
983,1,1,3,-1,
984,1,3,3,0,
985,3,3,4,0,
986,3,4,1,-1,
987,4,1,4,-1,
988,1,4,4,1,
989,4,4,3,1,
990,4,3,2,1,
991,3,2,4,-1,
992,2,4,2,1,
993,4,2,1,0,
994,2,1,1,1,
995,1,1,4,1,
996,1,4,3,1,
997,4,3,2,1,
998,3,2,0,-1,
999,2,0,4,-1,
1000,0,4,5,-1,
1001,4,5,2,0,
1002,5,2,5,-1,
1003,2,5,3,1,
1004,5,3,2,1,
1005,3,2,3,0,
1006,2,3,0,-1,
1007,3,0,5,0,
1008,0,5,4,-1,
1009,5,4,3,1,
1010,4,3,3,1,
1011,3,3,2,-1,
1012,3,2,4,-1,
1013,2,4,4,-1,
1014,4,4,0,1,
1015,4,0,2,1,
1016,0,2,0,-1,
1017,2,0,3,1,
1018,0,3,1,0,
1019,3,1,4,1,
1020,1,4,2,1,
1021,4,2,3,1,
1022,2,3,1,0,
1023,3,1,3,-1,
1024,1,3,2,1,
1025,3,2,0,-1,
1026,2,0,4,1,
1027,0,4,2,0,
1028,4,2,1,0,
1029,2,1,0,-1,
1030,1,0,1,0,
1031,0,1,1,-1,
1032,1,1,1,-1,
1033,1,1,5,-1,
1034,1,5,3,1,
1035,5,3,0,1,
1036,3,0,2,1,
1037,0,2,2,1,
1038,2,2,4,-1,
1039,2,4,1,-1,
1040,4,1,4,1,
1041,1,4,2,1,
1042,4,2,0,-1,
1043,2,0,0,-1,
1044,0,0,5,1,
1045,0,5,4,-1,
1046,5,4,4,-1,
1047,4,4,2,1,
1048,4,2,5,-1,
1049,2,5,3,1,
1050,5,3,4,-1,
1051,3,4,4,1,
1052,4,4,2,1,
1053,4,2,3,1,
1054,2,3,3,-1,
1055,3,3,2,1,
1056,3,2,3,1,
1057,2,3,4,-1,
1058,3,4,2,0,
1059,4,2,4,-1,
1060,2,4,0,-1,
1061,4,0,0,0,
1062,0,0,2,1,
1063,0,2,2,1,
1064,2,2,2,-1,
1065,2,2,1,0,
1066,2,1,1,0,
1067,1,1,0,-1,
1068,1,0,3,-1,
1069,0,3,0,-1,
1070,3,0,0,-1,
1071,0,0,5,-1,
1072,0,5,2,-1,
1073,5,2,2,1,
1074,2,2,3,1,
1075,2,3,3,-1,
1076,3,3,2,1,
1077,3,2,0,0,
1078,2,0,1,-1,
1079,0,1,3,-1,
1080,1,3,2,1,
1081,3,2,2,1,
1082,2,2,4,-1,
1083,2,4,3,-1,
1084,4,3,5,1,
1085,3,5,0,1,
1086,5,0,2,1,
1087,0,2,1,0,
1088,2,1,3,1,
1089,1,3,2,1,
1090,3,2,3,1,
1091,2,3,2,1,
1092,3,2,1,0,
1093,2,1,2,1,
1094,1,2,5,-1,
1095,2,5,0,1,
1096,5,0,1,0,
1097,0,1,2,1,
1098,1,2,5,-1,
1099,2,5,3,1,
1100,5,3,2,1,
1101,3,2,4,-1,
1102,2,4,1,0,
1103,4,1,2,1,
1104,1,2,4,-1,
1105,2,4,1,1,
1106,4,1,3,1,
1107,1,3,0,-1,
1108,3,0,2,1,
1109,0,2,4,-1,
1110,2,4,2,0,
1111,4,2,1,0,
1112,2,1,2,1,
1113,1,2,2,-1,
1114,2,2,2,-1,
1115,2,2,0,0,
1116,2,0,1,0,
1117,0,1,0,1,
1118,1,0,3,-1,
1119,0,3,3,0,
1120,3,3,0,0,
1121,3,0,2,1,
1122,0,2,2,1,
1123,2,2,3,1,
1124,2,3,2,1,
1125,3,2,0,-1,
1126,2,0,2,1,
1127,0,2,2,1,
1128,2,2,2,0,
1129,2,2,3,1,
1130,2,3,1,0,
1131,3,1,2,1,
1132,1,2,3,1,
1133,2,3,2,1,
1134,3,2,2,1,
1135,2,2,1,1,
1136,2,1,2,1,
1137,1,2,1,-1,
1138,2,1,2,1,
1139,1,2,4,-1,
1140,2,4,0,-1,
1141,4,0,5,0,
1142,0,5,5,-1,
1143,5,5,2,0,
1144,5,2,3,-1,
1145,2,3,1,-1,
1146,3,1,0,-1,
1147,1,0,1,0,
1148,0,1,0,0,
1149,1,0,5,0,
1150,0,5,3,1,
1151,5,3,1,-1,
1152,3,1,2,0,
1153,1,2,1,-1,
1154,2,1,2,1,
1155,1,2,2,0,
1156,2,2,1,0,
1157,2,1,5,-1,
1158,1,5,4,-1,
1159,5,4,2,1,
1160,4,2,3,1,
1161,2,3,4,0,
1162,3,4,2,1,
1163,4,2,2,1,
1164,2,2,0,-1,
1165,2,0,5,-1,
1166,0,5,4,0,
1167,5,4,5,-1,
1168,4,5,4,-1,
1169,5,4,4,-1,
1170,4,4,1,-1,
1171,4,1,4,-1,
1172,1,4,3,1,
1173,4,3,2,-1,
1174,3,2,1,0,
1175,2,1,1,-1,
1176,1,1,5,-1,
1177,1,5,1,0,
1178,5,1,1,0,
1179,1,1,3,-1,
1180,1,3,2,0,
1181,3,2,2,1,
1182,2,2,0,1,
1183,2,0,1,-1,
1184,0,1,2,1,
1185,1,2,1,-1,
1186,2,1,5,-1,
1187,1,5,1,0,
1188,5,1,3,-1,
1189,1,3,2,1,
1190,3,2,3,1,
1191,2,3,3,1,
1192,3,3,2,1,
1193,3,2,2,1,
1194,2,2,5,-1,
1195,2,5,3,1,
1196,5,3,4,-1,
1197,3,4,3,0,
1198,4,3,4,-1,
1199,3,4,2,1,
1200,4,2,3,-1,
1201,2,3,2,1,
1202,3,2,2,1,
1203,2,2,2,0,
1204,2,2,2,0,
1205,2,2,2,-1,
