,s-3,s-2,s-1,a,r
975,12,15,18,8,0
976,15,18,8,6,-1
977,18,8,6,0,-1
978,8,6,0,15,-1
979,6,0,15,7,0
980,0,15,7,1,-1
981,15,7,1,0,1
982,7,1,0,16,-1
983,1,0,16,4,-1
984,0,16,4,1,0
985,16,4,1,12,-1
986,4,1,12,6,-1
987,1,12,6,2,1
988,12,6,2,2,0
989,6,2,2,9,1
990,2,2,9,17,-1
991,2,9,17,6,1
992,9,17,6,13,0
993,17,6,13,0,-1
994,6,13,0,4,-1
995,13,0,4,0,-1
996,0,4,0,1,-1
997,4,0,1,4,-1
998,0,1,4,18,0
999,1,4,18,5,0
1000,4,18,5,1,0
1001,18,5,1,0,0
1002,5,1,0,10,1
1003,1,0,10,4,-1
1004,0,10,4,1,0
1005,10,4,1,0,0
1006,4,1,0,6,-1
1007,1,0,6,5,-1
1008,0,6,5,2,1
1009,6,5,2,6,1
1010,5,2,6,17,0
1011,2,6,17,6,-1
1012,6,17,6,4,-1
1013,17,6,4,0,0
1014,6,4,0,8,1
1015,4,0,8,4,-1
1016,0,8,4,2,1
1017,8,4,2,12,0
1018,4,2,12,5,-1
1019,2,12,5,12,0
1020,12,5,12,15,1
1021,5,12,15,6,0
1022,12,15,6,11,-1
1023,15,6,11,0,-1
1024,6,11,0,2,0
1025,11,0,2,0,-1
1026,0,2,0,1,1
1027,2,0,1,2,0
1028,0,1,2,8,-1
1029,1,2,8,3,1
1030,2,8,3,2,1
1031,8,3,2,19,0
1032,3,2,19,3,1
1033,2,19,3,2,0
1034,19,3,2,0,-1
1035,3,2,0,2,0
1036,2,0,2,3,1
1037,0,2,3,2,1
1038,2,3,2,2,1
1039,3,2,2,2,0
1040,2,2,2,2,-1
1041,2,2,2,8,1
1042,2,2,8,3,1
1043,2,8,3,4,-1
1044,8,3,4,11,-1
1045,3,4,11,4,1
1046,4,11,4,2,1
1047,11,4,2,0,-1
1048,4,2,0,6,-1
1049,2,0,6,8,0
1050,0,6,8,3,-1
1051,6,8,3,2,1
1052,8,3,2,18,-1
1053,3,2,18,17,-1
1054,2,18,17,4,1
1055,18,17,4,18,1
1056,17,4,18,0,-1
1057,4,18,0,1,0
1058,18,0,1,0,-1
1059,0,1,0,1,0
1060,1,0,1,1,0
1061,0,1,1,1,0
1062,1,1,1,1,0
1063,1,1,1,10,-1
1064,1,1,10,13,0
1065,1,10,13,3,1
1066,10,13,3,7,0
1067,13,3,7,6,0
1068,3,7,6,2,1
1069,7,6,2,8,1
1070,6,2,8,6,-1
1071,2,8,6,2,1
1072,8,6,2,12,0
1073,6,2,12,8,1
1074,2,12,8,2,1
1075,12,8,2,0,-1
1076,8,2,0,0,-1
1077,2,0,0,1,0
1078,0,0,1,1,0
1079,0,1,1,1,1
1080,1,1,1,1,0
1081,1,1,1,1,-1
1082,1,1,1,1,0
1083,1,1,1,1,0
1084,1,1,1,5,0
1085,1,1,5,10,-1
1086,1,5,10,10,-1
1087,5,10,10,6,0
1088,10,10,6,15,-1
1089,10,6,15,4,-1
1090,6,15,4,2,1
1091,15,4,2,0,-1
1092,4,2,0,10,-1
1093,2,0,10,2,1
1094,0,10,2,12,-1
1095,10,2,12,0,-1
1096,2,12,0,1,0
1097,12,0,1,0,-1
1098,0,1,0,1,-1
1099,1,0,1,1,0
1100,0,1,1,1,0
1101,1,1,1,1,0
1102,1,1,1,1,-1
1103,1,1,1,16,1
1104,1,1,16,2,1
1105,1,16,2,2,1
1106,16,2,2,0,0
