,s-2,s-1,a,r,none
834,1,1,1,0,
835,1,1,1,0,
836,1,1,0,-1,
837,1,0,1,-1,
838,0,1,0,-1,
839,1,0,1,-1,
840,0,1,3,1,
841,1,3,0,-1,
842,3,0,3,1,
843,0,3,0,-1,
844,3,0,4,-1,
845,0,4,0,0,
846,4,0,3,1,
847,0,3,0,1,
848,3,0,5,-1,
849,0,5,4,-1,
850,5,4,2,0,
851,4,2,2,0,
852,2,2,0,-1,
853,2,0,2,1,
854,0,2,0,-1,
855,2,0,1,-1,
856,0,1,0,-1,
857,1,0,0,-1,
858,0,0,1,0,
859,0,1,0,0,
860,1,0,1,0,
861,0,1,5,1,
862,1,5,5,-1,
863,5,5,1,1,
864,5,1,2,1,
865,1,2,0,-1,
866,2,0,0,0,
867,0,0,1,0,
868,0,1,0,-1,
869,1,0,1,1,
870,0,1,0,-1,
871,1,0,1,-1,
872,0,1,0,-1,
873,1,0,1,0,
874,0,1,3,1,
875,1,3,0,-1,
876,3,0,2,1,
877,0,2,0,0,
878,2,0,2,1,
879,0,2,0,-1,
880,2,0,2,1,
881,0,2,0,-1,
882,2,0,2,1,
883,0,2,0,-1,
884,2,0,2,1,
885,0,2,0,-1,
886,2,0,2,1,
887,0,2,0,-1,
888,2,0,3,1,
889,0,3,0,-1,
890,3,0,2,1,
891,0,2,0,-1,
892,2,0,2,0,
893,0,2,0,0,
894,2,0,2,0,
895,0,2,0,0,
896,2,0,0,-1,
897,0,0,1,0,
898,0,1,0,0,
899,1,0,2,0,
900,0,2,0,-1,
901,2,0,3,-1,
902,0,3,0,-1,
903,3,0,3,-1,
904,0,3,5,-1,
905,3,5,0,-1,
906,5,0,3,1,
907,0,3,0,-1,
908,3,0,2,1,
909,0,2,0,-1,
910,2,0,2,1,
911,0,2,0,1,
912,2,0,2,1,
913,0,2,2,-1,
914,2,2,1,0,
915,2,1,4,1,
916,1,4,0,-1,
917,4,0,5,-1,
918,0,5,3,1,
919,5,3,1,-1,
920,3,1,2,-1,
921,1,2,0,-1,
922,2,0,2,1,
923,0,2,0,-1,
924,2,0,3,-1,
925,0,3,0,0,
926,3,0,2,1,
927,0,2,4,-1,
928,2,4,0,-1,
929,4,0,2,1,
930,0,2,0,-1,
931,2,0,2,-1,
932,0,2,0,-1,
933,2,0,2,1,
934,0,2,0,-1,
935,2,0,2,-1,
936,0,2,0,-1,
937,2,0,2,1,
938,0,2,0,0,
939,2,0,2,1,
940,0,2,0,1,
941,2,0,2,1,
942,0,2,1,0,
943,2,1,1,-1,
944,1,1,1,1,
945,1,1,1,0,
946,1,1,1,-1,
947,1,1,1,1,
948,1,1,1,0,
949,1,1,1,0,
950,1,1,0,1,
951,1,0,1,0,
952,0,1,0,-1,
953,1,0,1,0,
954,0,1,0,-1,
955,1,0,0,-1,
956,0,0,1,0,
957,0,1,0,-1,
958,1,0,0,1,
959,0,0,0,-1,
960,0,0,2,1,
961,0,2,0,0,
962,2,0,3,1,
963,0,3,3,1,
964,3,3,0,-1,
965,3,0,2,1,
966,0,2,0,-1,
967,2,0,2,1,
968,0,2,0,-1,
969,2,0,2,1,
970,0,2,0,0,
971,2,0,2,1,
972,0,2,0,-1,
973,2,0,2,0,
974,0,2,2,0,
975,2,2,0,-1,
976,2,0,2,-1,
977,0,2,5,-1,
978,2,5,0,1,
979,5,0,4,-1,
980,0,4,0,0,
981,4,0,2,1,
982,0,2,0,1,
983,2,0,2,1,
984,0,2,0,0,
985,2,0,2,1,
986,0,2,0,0,
987,2,0,2,1,
988,0,2,4,-1,
989,2,4,0,0,
990,4,0,2,1,
991,0,2,0,-1,
992,2,0,2,1,
993,0,2,0,-1,
994,2,0,3,1,
995,0,3,0,0,
996,3,0,2,1,
997,0,2,2,1,
998,2,2,0,-1,
999,2,0,2,1,
1000,0,2,1,0,
1001,2,1,0,0,
1002,1,0,0,-1,
1003,0,0,0,-1,
1004,0,0,1,0,
1005,0,1,0,-1,
1006,1,0,0,1,
1007,0,0,1,-1,
1008,0,1,0,-1,
1009,1,0,0,-1,
1010,0,0,1,0,
1011,0,1,0,-1,
1012,1,0,2,1,
1013,0,2,0,-1,
1014,2,0,2,1,
1015,0,2,0,-1,
1016,2,0,2,1,
1017,0,2,0,-1,
1018,2,0,2,1,
1019,0,2,0,-1,
